on	man
l'ornement (m)	Ausschmückung, Dekoration, Schmücken; Ornat
hacher	hacken, hauen
la pension alimentaire	Alimente, Unterhalt
le matériel	Gerät, Utensilien, Zeug
la corniche	Sims
arrosoir	Gießkanne
le vocabulaire	Wörterverzeichnis
Haguenau	Hagenau
le perroquet	Papagei
le bourdon	Hummel
le Jacob, le Jacques	Jakob
le Basque	Baske
la fiche	Zettel
le yoghourt, le yogourt, le yaourt	Joghurt
délivrer, libérer	befreien, entledigen, erledigen, freilassen, frei machen
le Milan	Mailand
serein	heiter, ungetrübt
le saxophone	Saxophon
l'étain (m)	Zinn
le mulet	Maulesel, Maultier
la ride	Runzel, Gesichtsfalte; Falte, Furche
prétendre à	posieren; beanspruchen, zumuten
lin des Alpes	Alpen-Lein
cynique	zynisch
la pommade	Pomade
la claie	Hurde, Horde
l'épice (f)	Gewürz, Würze
le Syrien	Syrer
balsamine	Springkraut
la marée basse	Ebbe
le charme	Anmut, Liebreiz, Grazie; Hagebuche, Weißbuche; Zauber, Zaubern
saper, miner	untergraben
choisir, opter	auslesen, wählen, auswählen, erwählen
panaméen	panamaisch
l'océan Arctique (m)	Arktischer Ozean
le thon	Thunfisch
l'orme (m)	Ulme
le don Quichotte	Don Quichotte
le stuc	Stuck
l'époque (f)	Epoche, Zeitabschnitt
le Liége, le Liège	Lüttich
joubarbe	Hauswurz
artilleur	Artillerist
la passion	Leidenschaft, Lust, Passion
l'amende (f)	Geldstrafe
le WC, le cabinet	Abort, Abtritt
dicter	auferlegen, diktieren, vorsagen, zuerkennen; begeistern, eingeben, inspirieren
l'association (f)	Verbindung, Vereinigung
armistice	Waffenstillstand
croasser	krächzen
l'assimilation (f)	Anpassung, Assimilation
l'organe (m)	Organ
hêtre (m)	Buche
dent de chien	Hunds-Zahnlilie
trembler	beben, zittern, zucken
bruxellois	brüsseler
la Babylonie	Babylonien
la nymphe	Nymphe
aigrir, acidifier	säuern, erbittern
le géologue	Geologe
le regret	Badauern
le cristal	Kristall
osciller	oszillieren, schwingen
l'étoile filante (f)	Sternschnuppe
la Nouvelle-Guinée	Neuguinea
le Méphistophélès	Mephisto
l'uniforme (m)	Uniform
anagramme	Anagramm
la subvention	Subvention
la Syrie	Syrien
combler	überschütten
plaire	behagen, gefallen, belieben
inverse	invers, umgekehrt
balalaïka	Balalaika
la formule	Formel
les broussailles	Gestrüpp
la cheminée	Kamin
le Kenya	Kenia
l'amnistie (f)	Amnestie, Begnadigung, Straferlass
la silhouette	Schattenriss, Silhouette
abdication	Abdikation, Abdankung
la steppe	Steppe
antarctique	antarktisch, südpolar
crépide	Pippau
le rhododendron	Rhododendron
hypothèque (f)	Hypothek
exploiter	ausbeuten, ausnutzen
la Lisbonne	Lissabon
la Thrace	Thrakien
triompher	stolzieren
l'archiduc (m)	Erzherzog; Großherzog
oxytropide des montagnes	Berg-Fahnenwicke
la dynamite	Dynamit
marchander	feilschen, dingen
dévier	abschweifen, abweichen
griffer	kratzen, ritzen
batteuse	Dreschmaschine
slovaque	slowakisch
accoter	anlegen, lehnen, anlehnen, stemmen, stützen, unterstützen
onduler	wallen, wogen
l'observatoire (m)	Observatorium, Sternwarte; Warte
la lanterne	Laterne
la chenille	Raupe
pelleter	schaufeln
être accroupi	kauern
aboyer à	in Misskredit bringen
pompette	angeheitert
l'aire (f)	Flächeninhalt
l'anémone (f)	Anemone, Windröschen, Küchenschelle
jus d'ananas	Ananassaft
adhésif	Häufungs-(punkt), Berührungs-(punkt), Adhärenz-(punkt), adhärenter (Punkt), Limes-(punkt)
la bobine	Spule
le préfixe	Präfix
l'aberration (f)	Abirrung, Aberration; Wahnsinn
l'écrou (m)	(Schrauben)Mutter
dissonant	dissonant, missklingend
le martyr	Märtyrer
le flêche	Pfeil
le pionnier	Bahnbrecher, Pionier
le lombric, la ver de terre	Regenwurm
minéral	mineralisch
le zébu	Zebu, Buckelrind
adjectif	adjektivisch
l'agronomie (f)	Landwirtschaftskunde
hypnotiser	hypnotisieren
succulent	delikat; Saft-, saftig
gentiane	Enzian
la marte, la martre	Marder
l'argile (f)	Lehm, Ton, Tonerde
gras	feist, fett, fettig, geil
fracasser, réduire en miettes	zermalmen, zerschmettern
l'anarchisme (m)	Anarchismus
moudre	mahlen
le lama	Lama
le Zimbabwe	Simbabwe
la souscription	Anzahlung, Vorschuss
la lie	Hefe
le palmier	Palme
démissioner, se retirer	abdanken
la Galice	Galicien
la femme de chambre	Zimmermädchen, Zofe
le moulin	Mühle
baccara	<Kartenhazardspiel>
l'Australien (m)	Australier
le Panama	Panama
les instances, l'instance (f)	Andrang
parcourir	durchgehen, durchqueren, hindurchgehen
la Mongolie	Mongolei
le débris	Bestand, Rückstand, Überbleibsel; Müll, Schutt
huître (f)	Auster
la Guinée	Guinea
la châtaignier	Kastanienbaum
le Danois	Däne
la spirale	Spirale
le cerf	Hirsch
l'aliéné (m)	Irre
le libraire	Buchhändler
sri lankais	srilankisch
le textile	Gewebe, Gewirk
le baron	Baron, Freiherr
la fraternité	Brüderlichkeit
barbarie	Barbarei
l'amiral (m)	Admiral
robuste	fest, befestigt, haltbar, wiederstandsfähig
le Morphée	Morpheus
péter	furzen
la vente aux enchères	Auktion, Versteigerung
la tombe	Grab, Gruft
estonien	estisch
le Germain	Germane
la paroisse	Pfarrei, Parochie, Sprengel
l'astre (m)	Gestirn
émanciper	emanzipieren
faire appel	appellieren
le franc	Frank
le rouleau	Rolle, Walze
l'appareil (m)	Apparat, Vorrichtung
le schéma	Schema
l'eau-forte (f)	Scheidewasser
le rire	Lachen
s'appauvrir	verarmen
la Pénélope	Penelope
le melon d'eau	Wassermelone
loyal	bieder, loyal
la marguerite	Gänseblume, großes Maßlieb
l'adversaire (m), l'antagoniste (m/f)	Gegner, Widerpart, Widersacher
libanais	libanesisch
l'académicien (m)	Akademiker, Mitglied der Akademie, Akademiemitglied
l'abreuvoir (m)	Tränke
la baraque	Baracke, Lagerhütte
effacer en grattant	schaben, kratzen, radieren
sauter à l'abordage, monter à l'abordage	anhängen, anhaken, häkeln
frire	backen, braten
coopérer	Mitglied einer Genossenschaft sein, Mitglied einer Kooperative sein
le gorille	Gorilla
le cyclone	Wirbelwind, Zyklon
poser une question	fragen, anfragen
le bandage	Bandage, Verband
le Norvégien	Norweger
réunir	verbinden, verknüpfen; sich treffen, sich versammeln, zusammenkommen, zusammentreffen
accidenté	uneben
invoquer	anrufen, zurufen
authentique	authentisch, echt
le pas	Schritt, Tritt
bagasse	Bagasse
l'albatros (m)	Albatros
caucasique, caucasien	kaukasisch
le corail	Koralle
le baryum	Barium
le store	Jalousie, Rolladen
la gelée blanche, le givre	Reif
l'Aphrodite (f)	Aphrodite
le canari	Kanarienvogel
l'audience (f)	Audienz
l'Irlande du Nord (f)	Nordirland
le Calvin	Kalvin
l'axe (m)	Achse
actionner	antreiben
la bûche	Holzscheit, Klotz, Scheit
le Géorgien	Georgier
augurer	wahrsagen
violette jaune	Zweiblütiges Veilchen
les Açores, Açores	Azoren
la sphère	Sphäre
le mousquet	Muskette; Muskete
la Némésis	Nemesis
l'espéranto (m)	Esperanto
le tapioca	Tapioka
l'enclume (f)	Amboss
l'Algérie (f)	Algerien
l'archaïsme (m)	altertümlicher Ausdruck, Archaismus
pâlir	erblassen, verblassen
le portefeuille d'actions	Aktienkapital
contracter, s'engager	einen Vertrag schließen
le piston	Kolben
la caresse	Liebkosen
banqueter	festlich bewirten
craquer	knallen, knarren, krachen
la Floride	Florida
humeur (f)	Humor, Laune, Stimmung
l'indication (f)	Anzeige, Angabe
isocèle	gleischenklig
le ragoût	Ragout
anémique	anämisch, blutarm
se révolter	rebellieren, revoltieren, sich empören
l'artichaut (m)	Artischocke
le prognostic	Prognose
l'aconit (m)	Eisenhut
le benzène, le benzol	Benzol
la construction	Einrichtung, Zusammenstellung; Anbau; Erbauung, Bau
la brochure	Broschüre
ébranler	bewegen, wankend machen
la Républic Dominicaine	Dominica
le parrain	Gevatter, Pate
le commutateur	Umschalter
solidaire	solidarisch
pédiculaire à bec et en épi	Fleischrotes Läusekraut
le colza	Raps
le dynamomètre	Dynamometer
antisémitique	antisemitisch
la cadence	Kadenz
bengali	bengalisch
singaporien	singapurisch
le Pégase	Pegasus
résulter	resultieren
l'Abyssinie (f)	Abessinien
ronronner, bourdonner	summen
l'infini (m)	Unendlichkeit
le Monégasque	Monegasse
gymnadène à forte odeur	Wohlriechende Händelwurz
assiéger	belagern
avorter	eine Fehlgeburt haben
le coquelicot	Klatschmohn
l'épidémie (f)	Epidemie, Seuche
l'abri (m)	Vordach; Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt; Bunker, Obdach; Markise; Freistätte, Hospiz, Zuflucht
le Turc	Türke
réconforter	ermutigen
la Zélande, Zélande	Seeland
nicaraguayen	nicaraguanisch
inciter	anspornen, antreiben, aufhetzen, herausfordern
égyptien	ägyptisch
ivoirien	ivorisch
intact	intakt, unversehrt; unbeschadet
reformer	reformieren
les Delphes	Delphi
être efficace	wirken, einwirken, erwirken
fumer des aliments	rußen, räuchern
jongler	gaukeln, jonglieren
la lisière	Saum, Einfassung; Grat, Kante, Rand
le concombre	Gurke
râler	nörgeln
voiler	verhüllen, verschleiern
le crâne	Schädel
éthiopien	äthiopisch
le compas	Zirkel
l'apiculteur (m)	Imker, Bienenzüchter
le carreau	Fliese, Kachel
l'azimut (m)	Azimut
le Tokyo	Tokio
le Noé	Noah
la race	Rasse
le sort	Fügung, Geschick, Los, Schicksal, Verhängnis
le missel	Messbuch, Missale
argenter	versilbern
dénoncer	angeben, anzeigen, denunzieren, hinterbringen
l'ovaire (m)	Eierstock, Fruchtknoten
séditieux	aufrührerisch
le jonc	Binse
le puceron	Blattlaus (bestimmte), Röhrenlaus
hydraulique	hydraulisch
l'apathie (f)	Apathie, Teilnahmslosigkeit
le gui	Mistel
le thym	Thymian
le maillot	Wickel
le pou	Laus
guetter, épier	wachen, lauern, spannen, Wache schieben, heimlich beobachten, bewachen, belauern
fécond	fruchtbar
confisquer	mit Beschlag belegen, konfiszieren
le culte	Kultus
le pinson	Fink
antidote	Gegengift, Gegenmittel
Néau	Eupen
gentiane jaune	Gelber Enzian
se racornir, se ratatiner	einschrumpfen, eingehen, schrumpfen
la pression atmosphérique	Luftdruck
l'Escaut (m)	Schelde
cortuse de matthiole	Heilglöckchen
le Canadien	Kanadier
mouiller	befeuchten, wässern
la randonnée, l'excursion (f)	Ausflug, Exkursion
Asselborn	Asselborn
automobilisme	Autofahren, Automobilsport
le dégât	Schaden, Sachschaden; Verderbnis
le chaudron	Kessel
la branchie	Kieme
l'acrobaties (f)	Akrobatik
asymétrique	asymmetrisch
rayons alpha	Alpha-Strahlen
la promotion	Promotion
le rabbin	Rabbiner
plier	falten, zusammenlegen
manifester	manifestieren
le plutonium	Plutonium
l'agronome (m)	Agronom, Landwirtschaftsexperte
le baldaquin	Baldachin
chardon des Alpes	Berg-Distel
l'adjudant (m)	Adjutant, Hilfsoffizier
caduc, délabré	abgelebt, baufällig, gebrechlich, hinfällig
l'aisselle (f)	Achselhöhle
découvrir	abdecken, entdecken, enthüllen
Mauritanien	Mauretanier
acariâtre	streitsüchtig
le pupitre	Pult
l'Arabe (m)	Araber
humus (m)	Humus
la colonie	Ansiedlung, Kolonie
hystérie (f)	Hysterie
hérésie (f)	Häresie, Ketzerei, Irrlehre
le Philippin	Philippiner
autobiographique	autobiographisch
viscaire des Alpes	Alpen-Pechnelke
le bambou	Bambus
bafouer	äffen, foppen, spotten, verspotten
le séjour	Aufenthalt
sagace, avisé	spitzfindig
l'avarice (f)	Geiz
le zèbre	Zebra
printanier	Frühlings-
horizon (m)	Gesichtskreis, Horizont
resplendir	funkeln, glitzern
creuser	graben, wühlen
l'anarchie (f)	Anarchie
les Pouilles, la Pouille	Apulien
la vitrine	Vitrine
le schah, le shah	Schah
apartheid	Apartheid
la fée	Fee
androsace	Mannsschild
l'orbite (f)	Einflusssphäre, Umlaufbahn, Machtbereich, Augenhöhle, Bahn
monotone	eintönig, monoton
la ponctuation	Interpunktion
la couche, la feuille de placage	Scheibe, Schicht
la jacinthe	Hyazinthe
s'enivrer	saufen, zechen
limer	feilen
la Babel	Babel; Babylon
traiter	behandeln, traktieren
l'érosion (f)	Abschwemmung, Abtragung, Erosion
le miracle	Wunder, Wundertat
la pilule	Pille
l'orchestration (f), l'adaptation musicale (f)	Orchesterfassung
le journalier	Tagelöhner
asphalter	asphaltieren
l'agence (f)	Agentur
l'albumine (f), l'albumen (m)	Eiweiß
l'abomination (f)	Abscheu; Greuel
à tout le monde	jedermanns, jedes
la mouette	Möwe
l'aquarelle (f)	Aquarell
irlandais	irisch
le Kurdistan	Kurdistan
l'aboi (m), l'aboiement (m)	Gebell
hippopotame (m)	Flusspferd
l'Arcadie (f)	Arkadien
nématode	Aaltierchen, Aalwurm
se faner	welken, verwelken
la Thaïlande, le Siam	Thailand
le phonographe	Phonograph, Fonograf, Tonaufnahmegerät; Grammophon, Plattenspieler, CD-Spieler
clématite des Alpes	Alpen-Waldrebe
la Mauritanie	Mauretanien
l'Estonien (m)	Este
la loutre	Fischotter
le gland	Eichel
tourbilloner	verwirbeln
l'aborigène (m)	Eingeborene
barboter	paddeln; klatschen, plätschern
Yéménite	jemenitisch
l'arc-en-ciel (m)	Regenbogen
grincer	knarren
le Spitzberg	Spitzbergen
l'articulation (f)	Fuge, Gelenk
hormone (f)	Hormon
Bruges	Brügge
l'exhalaison (f), l'odeur délétère (f)	Ausdünstung, Dunst
projeter un liquide	spritzen, sprühen
imiter	imitieren, nachahmen, nachbilden
le Gabon	Gabun
l'autocratie (f)	Autokratie, Selbstherrschaft
le char	Panzer; Fuhre, Karren
le Pentateuque	Pentateuch, 5 Bücher Mose
l'abjection (f)	Infamie
le ciseau	Meißel, Stemmeisen
La Havane	Havana
le fiord	Fjord
agiter	agitieren; schlingen, schwingen
la basilique	Basilika
rater	verfehlen
doronic	Gemswurz
l'établi (m)	Arbeitsbock, Bank, Gestell, Staffel, Staffelei, Werkstuhl
la glissoire	Eisbahn
la grâce	Gnade, Gunst, Vergünstigung; Anmut, Liebreiz, Grazie
l'Archimède (m)	Archimedes
l'illusion (f)	Einbildung, Illusion, Täuschung, Wahn
wallon	wallonisch
l'accordéon (m)	Akkordeon, Schifferklavier, Ziehharmonika, Harmonika
roter	aufstoßen, rülpsen
la bosse	Beule, Knolle, Knoten; Buckel, Höcker; Schwellen, Schwellung
le tigre	Tiger
accotoir, accoudoir	Armlehne
l'Epiphanie (f)	Dreikönigsfest
le fluor	Fluor
agir avec affectation	affektieren, künsteln, sich zieren
la métamorphose	Metamorphose
l'Indochine (f)	Hinterindien
estampiller	abstempeln
la fatalité	Verhängnis
amarante	Tausendschön, Amarant
acétylène	Äthin, Azetylen
soularger	entladen, entlasten
l'enquête (f)	Umfrage
l'Agamemnon (m)	Agamemnon
le bouleau	Birke
l'adagio (m)	Adagio
mutiler	verkrüppeln
faire avorter	abtreiben
agir	agieren, handeln, verfahren, vorgehen, wirken; einwirken, erwirken
le Persan	Perser
disposer de	disponieren, verfügen
de temps en temps	dann und wann, von Zeit zu Zeit, zeitweilig
l'acre (f)	Acker
héroïne (f)	Heroin; Heldin
la gencive	Zahnfleisch
le bâbord	Backbord
subtil	spitzfindig, subtil
la tête d'ail	Knoblauchzwiebel
le dortoir	Schlafgemach
centaurée des montagnes	Berg-Flockenblume
forer	bohren
apparier	paaren
le flacon	Flakon, Fläschen
renoncule alpestre	Alpen-Hahnenfuß
renarde	Füchsin
indigner	entrüsten
le temple	Tempel
parier	wetten
la chanson	Kanzone, Chanson
le tour	Turm, Zwinger; Kette, Reihe, Reihenfolge, Tour
sussurer	rauschen
le sable	Sand
la mer Caspienne	Kaspische Meer
la bêche	Spaten
appartenir	gehören, angehören, zugehören
saxifrage à feuilles opposées	Roter Steinbrech
l'Anvers (m)	Antwerpen
l'environnement (m)	Milieu
Bruxellois	Brüsseler
valable	rechtsgültig
le satellite	Trabant; Satellit
miauler	miauen
le colonel	Oberst
l'antipathie (f)	Abneigung, Antipathie, Wiederwillen
imprimer	drucken, prägen
la matière	Materie
la Nimègue	Nimwegen
le réfectoire, la salle à manger	Speisesaal, Speisezimmer
la taupe	Maulwurf
violer	vergewaltigen; entheiligen, entweihen; brechen, abbrechen, aufbrechen
alors	damals, dann, hierauf
la Malaisie	Malaysia
Hawaii (m)	Hawaii
analyste	Laborant
allégorique	allegorisch
anglo-saxon	angelsächsisch
Colmar	Colmar
attaquant	Angreifer, Aggressor
l'île Maurice (f)	Mauritius
employer, user de, se servir de	anwenden, benutzen, brauchen, gebrauchen, verwenden, verwerten
duper	überlisten
l'orgue (m)	Orgel
la poésie	Dichtkunst, Dichtung, Poesie
la nuque	Genick, Nacken
la tache	Fleck, Flecken, Klecks
macédonien	mazedonisch
la Zambie	Sambia
bamboucher, faire la noce	ausschweifend leben, liederlich leben
le tourbillon	Wirbel, Strudel
fréquenter	frequentieren, Umgang haben, verkehren, oft besuchen
boxer	boxen
l'Islandais (m)	Isländer
s'abâtardir	ausarten, degenerieren, entarten
le criquet	Grashüpfer, Heuschrecke
le faux-fuyant, le détour	Ausflucht, Ausrede, Ausweg, Umschweif
azur	azurn
l'adepte (m/f)	Eingeweihter
attenter	ein Attentat ausführen
la mousse	Moos
bégonia	Schiefblatt, Begonie
le porte-plume	Federhalter
roumain	rumänisch
la perruque	Perücke
le théiste	Theist
la Barcelone	Barcelona
le pourcentage	Prozent, Zins
acoustique	akustisch
la Manille	Manila
glorieux	berühmt, glorreich
l'aide (f)	Beihilfe, Beistand, Handreichung, Hilfe
la sommation	Ermahnung, Zuspruch
réconcilier	aussöhnen, versöhnen
bâfrer	fressen, schlingen, verschlingen
l'Alsacien (m)	Elsässer
la bave, la salive	Speichel
le teint	Gesichtsfarbe, Teint
la lunette	Fernrohr
l'otage (m)	Geisel
traîner	schleppen, nachschleppen
le mystère	Geheimnis, Mysterium
accrocher	anhängen, anhaken, häkeln; anklammern, haken
la tortue	Schildkröte
orchestrer	für Orchester bearbeiten
l'iode (m)	Jod
garnir	besetzen, einfassen, garnieren, verzieren
amnésie	Amnesie, Gedächtnisschwund
tatare	tatarisch
stupéfait	bestürzt
gentiane à feuilles rondes	Rundblättriger Enzian
le missionnaire	Missionar
l'asphyxie (f)	Scheintod
la suie	Ruß
le Chypriote, le Cypriote	Zypriot
le rail	Schiene
la berce	Bärenklau
séneçon à feuilles d'auron	Eberrauten-Kreuzkraut
le tzigane, le gitan	Zigeuner
toutes les fois	Alles, das Ganze
éditer	herausgeben
le Bavarois	Bayer
la pervenche	Immergrün
Honduras (m)	Honduras
frisé, crêpé	kraus, gekräuselt
architrave	Architrav
l'agoraphobie (f)	Agoraphobie
consacrer	weihen, widmen, zueignen; konsekrieren, einsegnen, einweihen; erbieten, opfern
la ronde	Ronde; Bezirk, Kreis, Runde
la Tamise	Themse
le seigle	Roggen
la croûte	Kruste, Rinde
le Bengale	Bengalen
le pommier	Apfelbaum
l'Oural (m)	Ural
hondurien	honduranisch
le dauphin	Delphin
gabonais	gabunisch
le bambocheur	Wüstling
rythmique, rythmé	rhythmisch
la baleine	Walfisch
injecter	einspritzen, injizieren
le banquier	Bankier
refroidir	däpfen
frotter	frottieren, reiben, abreiben
la Bessarabie	Bessarabien
la prise de courant mâle, le bouchon	Pfropfen, Stöpsel
le céleri	Sellerie
doronic à grandes fleurs	Großblütige Gemswurz
la chouette, l'effraie (f), hibou (m)	Eule
la volupté	Lust, Wonne
le guillemet	Anführungszeichen, Gänsefüßchen
l'Abkhasie (f)	Abchasien
le levier	Hebel, Winde
le cap	Kap, Vorgebirge
pakistanais	pakistanisch
saxifrage de Burser	Bursers Steinbrech
traire	melken
cicerbite des Alpes	Alpen-Milchlatich
durer	dauern, währen
le placard, l'affiche (f)	Affiche, Anschlag, Anschlagzettel, Plakat, Aushang
le Corse	Korse
Cernay	Sennheim
le brochet	Hecht
tropical	tropisch
l'arsenal (m)	Waffenlager, Arsenal; Zeughaus
le Lapon	Lappländer
objectif	objektiv
le coucou	Kuckuck
influer	beeinflussen, einwirken, Einfluss haben auf
le cercueil	Sarg
le nœud	Band, Schleife, Schlinge; Knoten
la pollution atmosphérique	Luftverschmutzung
le flocon	Flocke
la malaria	Malaria
le Josué	Josua
la théocratie	Theokratie
le rhinocéros	Nashorn
mettre d'accord	in Einklang bringen
équilatéral	gleichseitig
bavarder, babiller	plaudern, schwatzen
cambodgien, khmer	kambodschanisch
les provisions	Proviant
le moignon, le tronçon	Stummel, Stumpf
la satisfaction	Genugtuung
la maille	Masche, Schlinge
particulier	abgesondert, einzeln, seperat
le ravin	Schlucht
l'intermédiaire (m)	Vermittler
repoussant	garstig
le mysticisme	Mystizismus
clapoter	klatschen, plätschern
buriner, ciseler	meißeln, ziselieren
lier	anschließen
la barrière	Hecke, Schranke, Sperre, Zaun
la glande	Drüse
la boussole	Kompass
l'orphelin (m)	Waise, Waisenknabe
angulaire	Eck..., Winkel...
étonner	in Verwunderung setzen, verwundern
l'égout (m), le cloaque	Kloake
la limite, la frontière	Grenze, Schranke
athénien	athenisch
sans détour, debout	aufrecht, direkt, gerade, geradeaus, geradeswegs, geradezu
l'anthropologie (f)	Anthropologie, Menschenkunde
Saint-Louis	Sankt Ludwig
